Time	Deformation	Go	G1	Tk1	nk1
0.028187936	3.825419066	1.15E+08	1.01E+05	100	1.01E+07
0.1396063022	4.218715927	1.15E+08	1.01E+05	100	1.01E+07
0.2632003918	4.245024937	1.15E+08	1.01E+05	100	1.01E+07
0.3868732038	4.240396063	1.15E+08	1.01E+05	100	1.01E+07
0.5105076566	4.250842375	1.15E+08	1.01E+05	100	1.01E+07
0.6341715944	4.249701044	1.15E+08	1.01E+05	100	1.01E+07
0.757828662	4.251259747	1.15E+08	1.01E+05	100	1.01E+07
0.8814943174	4.249443408	1.15E+08	1.01E+05	100	1.01E+07
1.005142797	4.254377152	1.15E+08	1.01E+05	100	1.01E+07
1.128901631	4.215941609	1.15E+08	1.01E+05	100	1.01E+07
1.242359479	3.807722282	1.15E+08	1.01E+05	100	1.01E+07
1.35593603	3.352852377	1.15E+08	1.01E+05	100	1.01E+07
1.479371959	3.441318407	1.15E+08	1.01E+05	100	1.01E+07
1.602370622	3.701630318	1.15E+08	1.01E+05	100	1.01E+07
1.725396479	3.951254596	1.15E+08	1.01E+05	100	1.01E+07
1.848452394	4.189066228	1.15E+08	1.01E+05	100	1.01E+07
1.943182576	4.51371219	1.15E+08	1.01E+05	100	1.01E+07
2.026596779	4.867466814	1.15E+08	1.01E+05	100	1.01E+07
2.126731608	5.27712218	1.15E+08	1.01E+05	100	1.01E+07
2.226882182	5.680589969	1.15E+08	1.01E+05	100	1.01E+07
2.326956132	6.114170631	1.15E+08	1.01E+05	100	1.01E+07
2.439238011	6.168107034	1.15E+08	1.01E+05	100	1.01E+07
2.563553341	5.910968779	1.15E+08	1.01E+05	100	1.01E+07
2.687845912	5.662774385	1.15E+08	1.01E+05	100	1.01E+07
2.812181423	5.397704782	1.15E+08	1.01E+05	100	1.01E+07
2.936388116	5.183260806	1.15E+08	1.01E+05	100	1.01E+07
3.060732215	4.914816161	1.15E+08	1.01E+05	100	1.01E+07
3.185024787	4.666621767	1.15E+08	1.01E+05	100	1.01E+07
3.309343122	4.408302247	1.15E+08	1.01E+05	100	1.01E+07
3.43358846	4.178670583	1.15E+08	1.01E+05	100	1.01E+07
3.557902501	3.922038585	1.15E+08	1.01E+05	100	1.01E+07
3.682182191	3.678906753	1.15E+08	1.01E+05	100	1.01E+07
3.800831658	3.439416618	1.15E+08	1.01E+05	100	1.01E+07
3.963402758	3.611010873	1.15E+08	1.01E+05	100	1.01E+07
4.063532339	4.022728765	1.15E+08	1.01E+05	100	1.01E+07
4.163667169	4.43238413	1.15E+08	1.01E+05	100	1.01E+07
4.26379675	4.844102021	1.15E+08	1.01E+05	100	1.01E+07
4.375172176	5.254274091	1.15E+08	1.01E+05	100	1.01E+07
4.498714739	5.300833352	1.15E+08	1.01E+05	100	1.01E+07
4.622371806	5.302392054	1.15E+08	1.01E+05	100	1.01E+07
4.746028874	5.303950757	1.15E+08	1.01E+05	100	1.01E+07
4.869665903	5.313384557	1.15E+08	1.01E+05	100	1.01E+07
4.993343009	5.307068162	1.15E+08	1.01E+05	100	1.01E+07
5.117000076	5.308626864	1.15E+08	1.01E+05	100	1.01E+07
5.240657144	5.310185567	1.15E+08	1.01E+05	100	1.01E+07
5.36426526	5.330982008	1.15E+08	1.01E+05	100	1.01E+07
5.487387302	5.542805818	1.15E+08	1.01E+05	100	1.01E+07
5.610404572	5.795805138	1.15E+08	1.01E+05	100	1.01E+07
5.733430429	6.045429416	1.15E+08	1.01E+05	100	1.01E+07
5.856483482	6.284366062	1.15E+08	1.01E+05	100	1.01E+07
5.969778302	5.940216279	1.15E+08	1.01E+05	100	1.01E+07
6.071991402	5.533111518	1.15E+08	1.01E+05	100	1.01E+07
6.174214997	5.121881706	1.15E+08	1.01E+05	100	1.01E+07
6.28456274	4.673627647	1.15E+08	1.01E+05	100	1.01E+07
6.389751544	4.359377022	1.15E+08	1.01E+05	100	1.01E+07
6.512803165	4.598876175	1.15E+08	1.01E+05	100	1.01E+07
6.635833316	4.846812932	1.15E+08	1.01E+05	100	1.01E+07
6.758850586	5.099812253	1.15E+08	1.01E+05	100	1.01E+07
6.88194257	5.323448709	1.15E+08	1.01E+05	100	1.01E+07
7.005580744	5.332432503	1.15E+08	1.01E+05	100	1.01E+07
7.129237812	5.333991206	1.15E+08	1.01E+05	100	1.01E+07
7.252894879	5.335549908	1.15E+08	1.01E+05	100	1.01E+07
7.376501851	5.356796355	1.15E+08	1.01E+05	100	1.01E+07
7.499874087	5.470293945	1.15E+08	1.01E+05	100	1.01E+07
7.623217696	5.595041675	1.15E+08	1.01E+05	100	1.01E+07
7.746552718	5.723164447	1.15E+08	1.01E+05	100	1.01E+07
7.869896327	5.847912177	1.15E+08	1.01E+05	100	1.01E+07
7.993231349	5.976034949	1.15E+08	1.01E+05	100	1.01E+07
8.116574958	6.100782678	1.15E+08	1.01E+05	100	1.01E+07
8.239914273	6.227217929	1.15E+08	1.01E+05	100	1.01E+07
8.363203493	6.373340924	1.15E+08	1.01E+05	100	1.01E+07
8.486288034	6.599902417	1.15E+08	1.01E+05	100	1.01E+07
8.609288128	6.85965182	1.15E+08	1.01E+05	100	1.01E+07
8.732292516	7.117713703	1.15E+08	1.01E+05	100	1.01E+07
8.85533698	7.360025391	1.15E+08	1.01E+05	100	1.01E+07
8.979473538	7.173144257	1.15E+08	1.01E+05	100	1.01E+07
9.103783286	6.918199779	1.15E+08	1.01E+05	100	1.01E+07
9.228093033	6.663255301	1.15E+08	1.01E+05	100	1.01E+07
9.352344383	6.431261108	1.15E+08	1.01E+05	100	1.01E+07
9.475578926	6.598871869	1.15E+08	1.01E+05	100	1.01E+07
9.598591902	6.85355871	1.15E+08	1.01E+05	100	1.01E+07
9.721604877	7.108245551	1.15E+08	1.01E+05	100	1.01E+07
9.844687987	7.335369551	1.15E+08	1.01E+05	100	1.01E+07
9.96866567	7.210926691	1.15E+08	1.01E+05	100	1.01E+07
10.09297112	6.957669734	1.15E+08	1.01E+05	100	1.01E+07
10.21728946	6.699350214	1.15E+08	1.01E+05	100	1.01E+07
10.34160235	6.443168221	1.15E+08	1.01E+05	100	1.01E+07
10.46543018	6.377619842	1.15E+08	1.01E+05	100	1.01E+07
10.5890851	6.380022305	1.15E+08	1.01E+05	100	1.01E+07
10.71274217	6.381581007	1.15E+08	1.01E+05	100	1.01E+07
10.83637519	6.392589827	1.15E+08	1.01E+05	100	1.01E+07
10.95955992	6.579775831	1.15E+08	1.01E+05	100	1.01E+07
11.082554	6.841887764	1.15E+08	1.01E+05	100	1.01E+07
11.20557557	7.093199563	1.15E+08	1.01E+05	100	1.01E+07
11.32857709	7.35238646	1.15E+08	1.01E+05	100	1.01E+07
11.45204594	7.42791483	1.15E+08	1.01E+05	100	1.01E+07
11.57569657	7.432004814	1.15E+08	1.01E+05	100	1.01E+07
11.69935364	7.433563516	1.15E+08	1.01E+05	100	1.01E+07
11.82299997	7.439341021	1.15E+08	1.01E+05	100	1.01E+07
11.94626414	7.595307888	1.15E+08	1.01E+05	100	1.01E+07
12.06925994	7.856744813	1.15E+08	1.01E+05	100	1.01E+07
12.1922815	8.108056612	1.15E+08	1.01E+05	100	1.01E+07
12.31529448	8.362743453	1.15E+08	1.01E+05	100	1.01E+07
12.39379497	8.438548782	1.15E+08	1.01E+05	100	1.01E+07
22.10225497	12.62908211	1.15E+08	1.01E+05	100	1.01E+07
22.78949925	13.9854323	1.15E+08	1.01E+05	100	1.01E+07
23.43175886	15.24338793	1.15E+08	1.01E+05	100	1.01E+07
24.06529477	15.59088261	1.15E+08	1.01E+05	100	1.01E+07
24.70614991	16.30081797	1.15E+08	1.01E+05	100	1.01E+07
25.38282552	16.02680783	1.15E+08	1.01E+05	100	1.01E+07
25.96655504	16.88798255	1.15E+08	1.01E+05	100	1.01E+07
26.71728018	18.07939286	1.15E+08	1.01E+05	100	1.01E+07
27.3169531	19.2395767	1.15E+08	1.01E+05	100	1.01E+07
27.87329413	20.32289535	1.15E+08	1.01E+05	100	1.01E+07
28.677843	20.07468487	1.15E+08	1.01E+05	100	1.01E+07
29.33339165	20.59592688	1.15E+08	1.01E+05	100	1.01E+07
29.9471556	21.64401566	1.15E+08	1.01E+05	100	1.01E+07
30.58359302	23.12367041	1.15E+08	1.01E+05	100	1.01E+07
31.15311604	23.74019322	1.15E+08	1.01E+05	100	1.01E+07
31.87707854	21.65771617	1.15E+08	1.01E+05	100	1.01E+07
32.47963303	22.38384304	1.15E+08	1.01E+05	100	1.01E+07
33.05771456	23.53468562	1.15E+08	1.01E+05	100	1.01E+07
33.80257738	24.93213732	1.15E+08	1.01E+05	100	1.01E+07
34.41115606	25.87160066	1.15E+08	1.01E+05	100	1.01E+07
35.11576064	27.10024254	1.15E+08	1.01E+05	100	1.01E+07
35.80469029	28.17915746	1.15E+08	1.01E+05	100	1.01E+07
36.40575731	28.32488104	1.15E+08	1.01E+05	100	1.01E+07
36.95243089	28.44117966	1.15E+08	1.01E+05	100	1.01E+07
37.64994451	29.06695031	1.15E+08	1.01E+05	100	1.01E+07
38.27561664	29.8369188	1.15E+08	1.01E+05	100	1.01E+07
38.92877609	30.98433626	1.15E+08	1.01E+05	100	1.01E+07
39.68788555	32.33041106	1.15E+08	1.01E+05	100	1.01E+07
40.37433981	33.37849984	1.15E+08	1.01E+05	100	1.01E+07
40.90500279	33.48125364	1.15E+08	1.01E+05	100	1.01E+07
41.53480407	32.37151258	1.15E+08	1.01E+05	100	1.01E+07
42.18412755	31.39877659	1.15E+08	1.01E+05	100	1.01E+07
42.90319194	33.32712294	1.15E+08	1.01E+05	100	1.01E+07
43.78270314	34.27712854	1.15E+08	1.01E+05	100	1.01E+07
44.41761439	35.1612783	1.15E+08	1.01E+05	100	1.01E+07
45.054381	36.7693753	1.15E+08	1.01E+05	100	1.01E+07
45.7420115	38.27643106	1.15E+08	1.01E+05	100	1.01E+07
46.39514462	39.28889852	1.15E+08	1.01E+05	100	1.01E+07
47.12654205	40.23217843	1.15E+08	1.01E+05	100	1.01E+07
47.78265089	40.9720058	1.15E+08	1.01E+05	100	1.01E+07
48.41723178	41.72724624	1.15E+08	1.01E+05	100	1.01E+07
49.0127407	42.46487175	1.15E+08	1.01E+05	100	1.01E+07
49.6647076	43.19148792	1.15E+08	1.01E+05	100	1.01E+07
50.32474019	43.59222775	1.15E+08	1.01E+05	100	1.01E+07
51.06767186	41.74265931	1.15E+08	1.01E+05	100	1.01E+07
51.79220493	42.68799429	1.15E+08	1.01E+05	100	1.01E+07
52.43333681	43.50591455	1.15E+08	1.01E+05	100	1.01E+07
53.06683538	43.83883687	1.15E+08	1.01E+05	100	1.01E+07
53.69948072	43.83883687	1.15E+08	1.01E+05	100	1.01E+07
54.33255699	44.00697946	1.15E+08	1.01E+05	100	1.01E+07
54.91515837	43.71553231	1.15E+08	1.01E+05	100	1.01E+07
55.56869966	43.85424994	1.15E+08	1.01E+05	100	1.01E+07
56.03066191	44.57866425	1.15E+08	1.01E+05	100	1.01E+07
67.38726172	48.3872056	1.15E+08	1.01E+05	100	1.01E+07
67.85909943	49.20715567	1.15E+08	1.01E+05	100	1.01E+07
68.389547	50.31821495	1.15E+08	1.01E+05	100	1.01E+07
68.88252156	50.56409458	1.15E+08	1.01E+05	100	1.01E+07
69.37579859	50.53791491	1.15E+08	1.01E+05	100	1.01E+07
69.86900116	50.57870369	1.15E+08	1.01E+05	100	1.01E+07
70.36227819	50.55252401	1.15E+08	1.01E+05	100	1.01E+07
70.85548076	50.59331279	1.15E+08	1.01E+05	100	1.01E+07
71.32633129	50.57266083	1.15E+08	1.01E+05	100	1.01E+07
73.54581453	50.69175318	1.15E+08	1.01E+05	100	1.01E+07
74.03911948	50.64046034	1.15E+08	1.01E+05	100	1.01E+07
74.53235928	50.64776489	1.15E+08	1.01E+05	100	1.01E+07
75.02559909	50.65506945	1.15E+08	1.01E+05	100	1.01E+07
75.46835552	50.69615754	1.15E+08	1.01E+05	100	1.01E+07
75.97768089	51.3597926	1.15E+08	1.01E+05	100	1.01E+07
76.50378287	52.05820727	1.15E+08	1.01E+05	100	1.01E+07
77.01314664	52.68731172	1.15E+08	1.01E+05	100	1.01E+07
77.52251041	53.31641617	1.15E+08	1.01E+05	100	1.01E+07
78.0653698	54.06687577	1.15E+08	1.01E+05	100	1.01E+07
78.60849792	54.57562114	1.15E+08	1.01E+05	100	1.01E+07
79.10173772	54.58292569	1.15E+08	1.01E+05	100	1.01E+07
79.59497752	54.59023025	1.15E+08	1.01E+05	100	1.01E+07
80.08821732	54.5975348	1.15E+08	1.01E+05	100	1.01E+07
80.58145712	54.60483935	1.15E+08	1.01E+05	100	1.01E+07
81.07469692	54.6121439	1.15E+08	1.01E+05	100	1.01E+07
81.56793672	54.61944845	1.15E+08	1.01E+05	100	1.01E+07
82.06117653	54.626753	1.15E+08	1.01E+05	100	1.01E+07
82.55441633	54.63405755	1.15E+08	1.01E+05	100	1.01E+07
83.04765613	54.6413621	1.15E+08	1.01E+05	100	1.01E+07
83.54089593	54.64866665	1.15E+08	1.01E+05	100	1.01E+07
84.03413573	54.6559712	1.15E+08	1.01E+05	100	1.01E+07
84.52737553	54.66327575	1.15E+08	1.01E+05	100	1.01E+07
85.02061533	54.67058031	1.15E+08	1.01E+05	100	1.01E+07
85.49143514	54.67755283	1.15E+08	1.01E+05	100	1.01E+07
86.63424044	55.24697578	1.15E+08	1.01E+05	100	1.01E+07
87.12748024	55.25428033	1.15E+08	1.01E+05	100	1.01E+07
87.62072004	55.26158488	1.15E+08	1.01E+05	100	1.01E+07
88.11395984	55.26888943	1.15E+08	1.01E+05	100	1.01E+07
89.27926889	55.7633049	1.15E+08	1.01E+05	100	1.01E+07
89.77242493	55.84594895	1.15E+08	1.01E+05	100	1.01E+07
90.26566473	55.85325351	1.15E+08	1.01E+05	100	1.01E+07
91.29637007	56.42101633	1.15E+08	1.01E+05	100	1.01E+07
91.78960987	56.42832088	1.15E+08	1.01E+05	100	1.01E+07
92.23800969	56.43496138	1.15E+08	1.01E+05	100	1.01E+07
93.22387505	57.00206015	1.15E+08	1.01E+05	100	1.01E+07
93.71711485	57.0093647	1.15E+08	1.01E+05	100	1.01E+07
94.18793466	57.01633723	1.15E+08	1.01E+05	100	1.01E+07
95.15138002	57.58310398	1.15E+08	1.01E+05	100	1.01E+07
95.64461982	57.59040853	1.15E+08	1.01E+05	100	1.01E+07
96.13779448	57.65631047	1.15E+08	1.01E+05	100	1.01E+07
96.63000256	58.59160632	1.15E+08	1.01E+05	100	1.01E+07
97.10889532	59.97994532	1.15E+08	1.01E+05	100	1.01E+07
97.61335609	61.41799321	1.15E+08	1.01E+05	100	1.01E+07
98.13073796	61.75757196	1.15E+08	1.01E+05	100	1.01E+07
98.64160444	62.19571472	1.15E+08	1.01E+05	100	1.01E+07
108.6560961	64.71856035	1.15E+08	1.01E+05	100	1.01E+07
109.2015742	64.70665901	1.15E+08	1.01E+05	100	1.01E+07
109.7470523	64.69475767	1.15E+08	1.01E+05	100	1.01E+07
110.2925304	64.68285633	1.15E+08	1.01E+05	100	1.01E+07
110.8380084	64.67095499	1.15E+08	1.01E+05	100	1.01E+07
111.3834865	64.65905365	1.15E+08	1.01E+05	100	1.01E+07
111.9289646	64.64715231	1.15E+08	1.01E+05	100	1.01E+07
112.4744427	64.63525097	1.15E+08	1.01E+05	100	1.01E+07
114.5071375	64.14837797	1.15E+08	1.01E+05	100	1.01E+07
115.0526156	64.13647663	1.15E+08	1.01E+05	100	1.01E+07
115.5980937	64.12457529	1.15E+08	1.01E+05	100	1.01E+07
116.1435718	64.11267395	1.15E+08	1.01E+05	100	1.01E+07
116.6890499	64.10077261	1.15E+08	1.01E+05	100	1.01E+07
117.234528	64.08887127	1.15E+08	1.01E+05	100	1.01E+07
117.7800061	64.07696993	1.15E+08	1.01E+05	100	1.01E+07
118.3254841	64.06506859	1.15E+08	1.01E+05	100	1.01E+07
120.3582063	63.60501458	1.15E+08	1.01E+05	100	1.01E+07
120.9037253	63.63334173	1.15E+08	1.01E+05	100	1.01E+07
121.4491351	63.5543929	1.15E+08	1.01E+05	100	1.01E+07
121.9946132	63.54249156	1.15E+08	1.01E+05	100	1.01E+07
123.1842964	63.07401153	1.15E+08	1.01E+05	100	1.01E+07
123.7297745	63.06211019	1.15E+08	1.01E+05	100	1.01E+07
124.2752526	63.05020885	1.15E+08	1.01E+05	100	1.01E+07
124.6471695	63.0420943	1.15E+08	1.01E+05	100	1.01E+07
125.6632915	62.57740107	1.15E+08	1.01E+05	100	1.01E+07
126.2087491	62.54538548	1.15E+08	1.01E+05	100	1.01E+07
126.7542477	62.55359839	1.15E+08	1.01E+05	100	1.01E+07
127.2997258	62.54169705	1.15E+08	1.01E+05	100	1.01E+07
127.6964371	62.53304153	1.15E+08	1.01E+05	100	1.01E+07
129.1349665	62.94417873	1.15E+08	1.01E+05	100	1.01E+07
129.6804446	62.93227739	1.15E+08	1.01E+05	100	1.01E+07
130.2259227	62.92037605	1.15E+08	1.01E+05	100	1.01E+07
130.7714008	62.90847471	1.15E+08	1.01E+05	100	1.01E+07
131.3168789	62.89657337	1.15E+08	1.01E+05	100	1.01E+07
131.6887957	62.88845882	1.15E+08	1.01E+05	100	1.01E+07
133.0529418	63.30121894	1.15E+08	1.01E+05	100	1.01E+07
133.5984199	63.2893176	1.15E+08	1.01E+05	100	1.01E+07
134.143898	63.27741626	1.15E+08	1.01E+05	100	1.01E+07
134.689376	63.26551492	1.15E+08	1.01E+05	100	1.01E+07
135.2348746	63.27372782	1.15E+08	1.01E+05	100	1.01E+07
135.7803322	63.24171224	1.15E+08	1.01E+05	100	1.01E+07
136.3258103	63.2298109	1.15E+08	1.01E+05	100	1.01E+07
136.796905	63.21953247	1.15E+08	1.01E+05	100	1.01E+07
137.9617938	62.75159341	1.15E+08	1.01E+05	100	1.01E+07
138.5072719	62.73969207	1.15E+08	1.01E+05	100	1.01E+07
139.05275	62.72779073	1.15E+08	1.01E+05	100	1.01E+07
139.4742558	62.71859424	1.15E+08	1.01E+05	100	1.01E+07
140.5895556	62.25173712	1.15E+08	1.01E+05	100	1.01E+07
141.1350542	62.25995003	1.15E+08	1.01E+05	100	1.01E+07
141.6805118	62.22793444	1.15E+08	1.01E+05	100	1.01E+07
142.2259899	62.2160331	1.15E+08	1.01E+05	100	1.01E+07
142.7714679	62.20413176	1.15E+08	1.01E+05	100	1.01E+07
143.316946	62.19223042	1.15E+08	1.01E+05	100	1.01E+07
143.8624241	62.18032908	1.15E+08	1.01E+05	100	1.01E+07
144.4079022	62.16842774	1.15E+08	1.01E+05	100	1.01E+07
144.9533803	62.1565264	1.15E+08	1.01E+05	100	1.01E+07
145.4988584	62.14462506	1.15E+08	1.01E+05	100	1.01E+07
146.0443365	62.13272372	1.15E+08	1.01E+05	100	1.01E+07
146.5898146	62.12082238	1.15E+08	1.01E+05	100	1.01E+07
147.1352927	62.10892104	1.15E+08	1.01E+05	100	1.01E+07
147.6807708	62.0970197	1.15E+08	1.01E+05	100	1.01E+07
148.2262488	62.08511836	1.15E+08	1.01E+05	100	1.01E+07
148.7717269	62.07321702	1.15E+08	1.01E+05	100	1.01E+07
149.317205	62.06131568	1.15E+08	1.01E+05	100	1.01E+07
149.8130942	62.05049628	1.15E+08	1.01E+05	100	1.01E+07
151.0027774	61.58201625	1.15E+08	1.01E+05	100	1.01E+07
151.5482555	61.57011491	1.15E+08	1.01E+05	100	1.01E+07
152.0937336	61.55821357	1.15E+08	1.01E+05	100	1.01E+07
152.5896228	61.54739417	1.15E+08	1.01E+05	100	1.01E+07
153.779306	61.07891415	1.15E+08	1.01E+05	100	1.01E+07
154.3247841	61.06701281	1.15E+08	1.01E+05	100	1.01E+07
154.8702621	61.05511147	1.15E+08	1.01E+05	100	1.01E+07
155.3413287	61.01717595	1.15E+08	1.01E+05	100	1.01E+07
