Position (19 m)	time (year)	Gk/KM	ηK	ηM	displacement (m)		Position (15 m)	time (year)	Gk/KM	ηK	ηM	displacement (m)		Position (10 m)	time (year)	Gk/KM	ηK	ηM	displacement (m)		Position (5m)	time (year)	Gk/KM	ηK	ηM	displacement (m)		Position (0 m)	time (year)	Gk/KM	ηK	ηM	displacement (m)
1	1	0.2	200000	2000000	-0.0347		2	1	0.2	200000	2000000	-0.0322		3	1	0.2	200000	2000000	-0.0298		4	1	0.2	200000	2000000	-0.0278		5	1	0.2	200000	2000000	-0.0258
1	2	0.2	200000	2000000	-0.0405		2	2	0.2	200000	2000000	-0.0385		3	2	0.2	200000	2000000	-0.0366		4	2	0.2	200000	2000000	-0.0350		5	2	0.2	200000	2000000	-0.0332
1	3	0.2	200000	2000000	-0.0447		2	3	0.2	200000	2000000	-0.0430		3	3	0.2	200000	2000000	-0.0415		4	3	0.2	200000	2000000	-0.0403		5	3	0.2	200000	2000000	-0.0387
1	4	0.2	200000	2000000	-0.0479		2	4	0.2	200000	2000000	-0.0465		3	4	0.2	200000	2000000	-0.0454		4	4	0.2	200000	2000000	-0.0444		5	4	0.2	200000	2000000	-0.0430
1	5	0.2	200000	2000000	-0.0505		2	5	0.2	200000	2000000	-0.0494		3	5	0.2	200000	2000000	-0.0485		4	5	0.2	200000	2000000	-0.0478		5	5	0.2	200000	2000000	-0.0465
1	6	0.2	200000	2000000	-0.0527		2	6	0.2	200000	2000000	-0.0518		3	6	0.2	200000	2000000	-0.0511		4	6	0.2	200000	2000000	-0.0506		5	6	0.2	200000	2000000	-0.0494
1	7	0.2	200000	2000000	-0.0547		2	7	0.2	200000	2000000	-0.0538		3	7	0.2	200000	2000000	-0.0534		4	7	0.2	200000	2000000	-0.0530		5	7	0.2	200000	2000000	-0.0519
1	8	0.2	200000	2000000	-0.0564		2	8	0.2	200000	2000000	-0.0557		3	8	0.2	200000	2000000	-0.0554		4	8	0.2	200000	2000000	-0.0552		5	8	0.2	200000	2000000	-0.0542
1	9	0.2	200000	2000000	-0.0580		2	9	0.2	200000	2000000	-0.0573		3	9	0.2	200000	2000000	-0.0571		4	9	0.2	200000	2000000	-0.0571		5	9	0.2	200000	2000000	-0.0562
1	10	0.2	200000	2000000	-0.0594		2	10	0.2	200000	2000000	-0.0588		3	10	0.2	200000	2000000	-0.0587		4	10	0.2	200000	2000000	-0.0588		5	10	0.2	200000	2000000	-0.0580
